LastB,LastF,Current
"[0.40318436556822457, 0.3016065180070492, 0.6765390950107277]","[0.4, 0.3, 0.7]","[0.4023882741761684, 0.30120488850528687, 0.6824043212580457]"
"[0.4023882741761684, 0.30120488850528687, 0.6824043212580457]","[0.4, 0.3, 0.7]","[0.40179120563212634, 0.30090366637896515, 0.6868032409435343]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.40707636792938817, 0.30357004001566473, 0.647864655579395]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.40943515723918417, 0.3047600533542197, 0.6304862074391933]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.40943515723918417, 0.3047600533542197, 0.6304862074391933]","[0.40990691510114335, 0.30499805602193064, 0.6270105178111529]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4, 0.3, 0.7]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]"
"[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.4042458207576328, 0.3021420240093989, 0.6687187933476371]","[0.4053072759470411, 0.3026775300117486, 0.6608984916845463]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4134188902957286, 0.3067698536593346, 0.601135939469075]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.4, 0.3, 0.7]","[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4, 0.3, 0.7]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]"
"[0.40754812579134736, 0.30380804268337575, 0.6443889659513546]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.40707636792938817, 0.30357004001566473, 0.647864655579395]"
"[0.40707636792938817, 0.30357004001566473, 0.647864655579395]","[0.4056610943435105, 0.3028560320125318, 0.658291724463516]","[0.40672254953291875, 0.3033915380148815, 0.6504714228004252]"
"[0.40707636792938817, 0.30357004001566473, 0.647864655579395]","[0.40672254953291875, 0.3033915380148815, 0.6504714228004252]","[0.4069879133302708, 0.30352541451546894, 0.6485163473846526]"
"[0.4069879133302708, 0.30352541451546894, 0.6485163473846526]","[0.40672254953291875, 0.3033915380148815, 0.6504714228004252]","[0.4069215723809328, 0.3034919453903221, 0.6490051162385958]"
"[0.4069879133302708, 0.30352541451546894, 0.6485163473846526]","[0.4069215723809328, 0.3034919453903221, 0.6490051162385958]","[0.4069713280929363, 0.30351704723418227, 0.6486385395981384]"
"[0.4069713280929363, 0.30351704723418227, 0.6486385395981384]","[0.4069215723809328, 0.3034919453903221, 0.6490051162385958]","[0.4069588891649354, 0.3035107717732172, 0.6487301837582528]"
"[0.4069713280929363, 0.30351704723418227, 0.6486385395981384]","[0.4069588891649354, 0.3035107717732172, 0.6487301837582528]","[0.40696821836093605, 0.303515478368941, 0.648661450638167]"
"[0.40696821836093605, 0.303515478368941, 0.648661450638167]","[0.4069588891649354, 0.3035107717732172, 0.6487301837582528]","[0.4069658860619359, 0.30351430172001004, 0.6486786339181885]"
"[0.40696821836093605, 0.303515478368941, 0.648661450638167]","[0.4069658860619359, 0.30351430172001004, 0.6486786339181885]","[0.406967635286186, 0.30351518420670826, 0.6486657464581724]"
"[0.406967635286186, 0.30351518420670826, 0.6486657464581724]","[0.4069658860619359, 0.30351430172001004, 0.6486786339181885]","[0.4069671979801235, 0.3035149635850337, 0.6486689683231764]"
"[0.406967635286186, 0.30351518420670826, 0.6486657464581724]","[0.4069671979801235, 0.3035149635850337, 0.6486689683231764]","[0.4069675259596704, 0.30351512905128963, 0.6486665519244235]"
"[0.4069675259596704, 0.30351512905128963, 0.6486665519244235]","[0.4069671979801235, 0.3035149635850337, 0.6486689683231764]","[0.4069674439647837, 0.3035150876847257, 0.6486671560241117]"
"[0.4069675259596704, 0.30351512905128963, 0.6486665519244235]","[0.4069674439647837, 0.3035150876847257, 0.6486671560241117]","[0.40696750546094873, 0.30351511870964865, 0.6486667029493456]"
"[0.40696750546094873, 0.30351511870964865, 0.6486667029493456]","[0.4069674439647837, 0.3035150876847257, 0.6486671560241117]","[0.40696749008690747, 0.3035151109534179, 0.6486668162180371]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]","[0.41258020965224557, 0.3063467378056262, 0.6073149432522578]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.41258020965224557, 0.3063467378056262, 0.6073149432522578]","[0.41320922013485784, 0.3066640746959075, 0.6026806904148707]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.41006416772179644, 0.305077390244501, 0.6258519546018062]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4134188902957286, 0.3067698536593346, 0.601135939469075]","[0.4, 0.3, 0.7]","[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]"
"[0.4033547225739322, 0.30169246341483363, 0.6752839848672687]","[0.4, 0.3, 0.7]","[0.4008386806434831, 0.3004231158537084, 0.6938209962168171]"
